date	label	depth	Chl-Flu	temperature	salinity	sigmaT	Chl-a	EC	DO	voltage	density	turbidity	DO_mgL	EC25	ORP	pH	PAR
2024-01-18	2024-01-O-s1	18.500	0.81	11.177	33.931	25.911	0.81	38.141	110.13	8.16	1025.995	0.19	9.758	54809.670			
2024-01-18	2024-01-O-s1	19.000	1.50	11.221	33.894	25.874	1.50	38.146	110.24	8.17	1025.960	0.30	9.762	54739.289			
2024-01-18	2024-01-O-s1	19.500	1.99	11.248	33.878	25.857	1.99	38.155	110.23	8.16	1025.945	1.01	9.753	54706.010			
2024-01-18	2024-01-O-s4	0.000	0.59	15.390	34.539	25.530	0.59	42.791	108.33	8.25	1025.530	0.11	8.770	54263.264			
2024-01-18	2024-01-O-s4	0.500	0.60	15.388	34.575	25.558	0.60	42.829	108.02	8.19	1025.560	0.14	8.739	54314.598			
2024-01-18	2024-01-O-s4	1.000	0.64	15.376	34.573	25.560	0.64	42.816	107.96	8.19	1025.564	0.15	8.735	54316.388			
2024-01-18	2024-01-O-s4	1.500	0.66	15.351	34.550	25.547	0.66	42.766	107.94	8.16	1025.554	0.16	8.736	54290.527			
2024-01-18	2024-01-O-s4	2.000	0.81	15.283	34.503	25.526	0.81	42.648	108.00	8.20	1025.535	0.14	8.757	54243.736			
2024-01-18	2024-01-O-s4	2.500	0.77	15.325	34.567	25.566	0.77	42.759	107.94	8.18	1025.577	0.18	8.740	54322.371			
2024-01-18	2024-01-O-s4	3.000	0.74	15.270	34.541	25.559	0.74	42.679	108.08	8.19	1025.572	0.15	8.764	54302.379			
2024-01-18	2024-01-O-s4	3.500	0.93	15.094	34.530	25.589	0.93	42.495	107.82	8.20	1025.605	0.16	8.774	54337.145			
2024-01-18	2024-01-O-s4	4.000	0.86	15.069	34.533	25.597	0.86	42.474	108.19	8.20	1025.615	0.16	8.807	54348.697			
2024-01-18	2024-01-O-s4	4.500	0.81	15.045	34.536	25.604	0.81	42.454	108.04	8.19	1025.624	0.16	8.798	54359.654			
2024-01-18	2024-01-O-s4	5.000	1.10	15.039	34.532	25.602	1.10	42.444	108.10	8.20	1025.625	0.20	8.805	54355.641			
2024-01-18	2024-01-O-s4	5.500	1.21	15.045	34.540	25.607	1.21	42.459	108.23	8.20	1025.632	0.18	8.813	54365.824			
2024-01-18	2024-01-O-s4	6.000	0.78	15.049	34.534	25.602	0.78	42.457	108.38	8.22	1025.629	0.15	8.826	54357.077			
2024-01-18	2024-01-O-s4	6.500	0.79	15.037	34.529	25.600	0.79	42.439	108.42	8.19	1025.630	0.16	8.831	54352.736			
2024-01-18	2024-01-O-s4	7.000	0.89	15.029	34.520	25.595	0.89	42.423	108.44	8.19	1025.627	0.19	8.835	54342.820			
2024-01-18	2024-01-O-s4	7.500	1.01	15.007	34.534	25.611	1.01	42.416	108.42	8.20	1025.644	0.16	8.835	54368.892			
2024-01-18	2024-01-O-s4	8.000	1.11	15.010	34.535	25.611	1.11	42.420	108.54	8.20	1025.647	0.18	8.845	54369.659			
2024-01-18	2024-01-O-s4	8.500	0.93	14.982	34.508	25.596	0.93	42.364	108.60	8.19	1025.634	0.15	8.859	54340.213			
2024-01-18	2024-01-O-s4	9.000	0.98	14.977	34.507	25.597	0.98	42.358	108.62	8.19	1025.637	0.18	8.861	54340.521			
2024-01-18	2024-01-O-s4	9.500	0.86	14.981	34.541	25.622	0.86	42.400	108.51	8.20	1025.665	0.14	8.846	54388.247			
2024-01-18	2024-01-O-s4	10.000	1.28	14.985	34.527	25.610	1.28	42.388	108.39	8.19	1025.655	0.20	8.837	54366.571			
2024-01-18	2024-01-O-s4	10.500	1.00	14.985	34.530	25.613	1.00	42.392	108.36	8.20	1025.659	0.15	8.835	54371.237			
2024-01-18	2024-01-O-s4	11.000	0.92	14.992	34.537	25.617	0.92	42.407	108.63	8.19	1025.666	0.15	8.855	54380.385			
2024-01-18	2024-01-O-s4	11.500	1.00	14.999	34.505	25.591	1.00	42.378	108.52	8.19	1025.642	0.15	8.847	54333.262			
2024-01-18	2024-01-O-s4	12.000	1.19	14.925	34.499	25.602	1.19	42.299	108.62	8.19	1025.655	0.19	8.871	54345.676			
2024-01-18	2024-01-O-s4	12.500	1.07	14.905	34.521	25.624	1.07	42.305	108.57	8.18	1025.679	0.20	8.867	54383.536			
2024-01-18	2024-01-O-s4	13.000	0.96	14.902	34.518	25.622	0.96	42.299	108.62	8.20	1025.680	0.15	8.872	54380.976			
2024-01-18	2024-01-O-s4	13.500	1.15	14.883	34.499	25.611	1.15	42.260	108.75	8.19	1025.672	0.14	8.888	54359.564			
2024-01-18	2024-01-O-s4	14.000	0.94	14.856	34.507	25.623	0.94	42.243	108.67	8.19	1025.686	0.14	8.886	54378.729			
2024-01-18	2024-01-O-s4	14.500	1.76	14.845	34.457	25.587	1.76	42.177	108.81	8.19	1025.652	0.16	8.904	54311.205			
2024-01-18	2024-01-O-s4	15.000	0.97	14.801	34.451	25.592	0.97	42.129	108.83	8.19	1025.659	0.18	8.915	54316.168			
2024-01-18	2024-01-O-s4	15.500	1.11	14.784	34.493	25.628	1.11	42.159	108.65	8.19	1025.697	0.16	8.896	54380.377			
2024-01-18	2024-01-O-s4	16.000	0.99	14.750	34.495	25.637	0.99	42.128	108.77	8.19	1025.708	0.18	8.915	54393.511			
2024-01-18	2024-01-O-s4	16.500	1.25	14.710	34.490	25.641	1.25	42.084	108.72	8.19	1025.715	0.19	8.916	54398.107			
2024-01-18	2024-01-O-s4	17.000	1.15	14.700	34.492	25.646	1.15	42.077	108.95	8.19	1025.722	0.18	8.936	54405.378			
2024-01-18	2024-01-O-s4	17.500	2.20	14.694	34.490	25.646	2.20	42.069	109.00	8.16	1025.724	0.81	8.942	54404.594			
2024-01-18	2024-01-O-s4	18.000	1.28	14.685	34.493	25.649	1.28	42.063	109.03	8.19	1025.730	0.18	8.945	54410.899			
2024-01-18	2024-01-O-s4	18.500	1.07	14.686	34.492	25.649	1.07	42.064	108.97	8.19	1025.731	0.16	8.941	54410.335			
2024-01-18	2024-01-O-s4	19.000	1.13	14.684	34.485	25.644	1.13	42.054	109.09	8.19	1025.728	0.18	8.951	54400.839			
2024-01-18	2024-01-O-s4	19.500	1.17	14.674	34.478	25.640	1.17	42.037	109.12	8.20	1025.727	0.19	8.956	54393.700			
2024-01-18	2024-01-O-s4	20.000	0.93	14.645	34.479	25.647	0.93	42.010	109.12	8.19	1025.737	0.15	8.961	54404.154			
2024-01-18	2024-01-O-s4	20.500	1.11	14.605	34.473	25.651	1.11	41.965	109.14	8.16	1025.742	0.18	8.970	54407.321			
2024-01-18	2024-01-O-s4	21.000	0.90	14.522	34.458	25.657	0.90	41.869	109.11	8.19	1025.751	0.20	8.985	54411.710			
2024-01-18	2024-01-O-s4	21.500	1.12	14.479	34.441	25.654	1.12	41.809	109.15	8.19	1025.750	0.20	8.996	54400.787			
2024-01-18	2024-01-O-s4	22.000	1.01	14.388	34.446	25.677	1.01	41.726	109.12	8.19	1025.775	0.19	9.007	54435.320			
2024-01-18	2024-01-O-s4	22.500	1.13	14.325	34.417	25.668	1.13	41.635	109.30	8.18	1025.769	0.21	9.038	54414.046			
2024-01-18	2024-01-O-s4	23.000	1.06	14.305	34.418	25.673	1.06	41.618	109.39	8.19	1025.776	0.21	9.049	54422.523			
2024-01-18	2024-01-O-s4	23.500	1.20	14.294	34.393	25.656	1.20	41.580	109.43	8.19	1025.761	0.20	9.056	54390.691			
2024-01-18	2024-01-O-s4	24.000	1.28	14.206	34.407	25.686	1.28	41.511	109.35	8.19	1025.793	0.32	9.064	54437.773			
2024-01-18	2024-01-O-s4	24.500	1.02	14.194	34.396	25.680	1.02	41.487	109.34	8.16	1025.789	0.19	9.066	54425.851			
2024-01-18	2024-01-O-s4	25.000	1.66	14.140	34.358	25.662	1.66	41.395	109.53	8.19	1025.774	0.28	9.097	54389.153			
2024-01-18	2024-01-O-s4	25.500	1.09	14.035	34.361	25.686	1.09	41.297	109.52	8.19	1025.800	0.20	9.114	54425.359			
2024-01-18	2024-01-O-s4	26.000	1.90	13.985	34.348	25.686	1.90	41.235	109.35	8.19	1025.803	0.21	9.110	54423.455			
2024-01-18	2024-01-O-s4	26.500	0.95	13.940	34.356	25.702	0.95	41.200	109.41	8.16	1025.820	0.19	9.122	54448.521			
2024-01-18	2024-01-O-s4	27.000	1.50	13.902	34.335	25.693	1.50	41.142	109.28	8.19	1025.814	0.27	9.119	54431.200			
2024-01-18	2024-01-O-s4	27.500	1.30	13.842	34.344	25.713	1.30	41.094	109.12	8.19	1025.836	0.29	9.117	54462.859			
2024-01-18	2024-01-O-s4	28.000	1.11	13.820	34.353	25.725	1.11	41.083	109.11	8.19	1025.851	0.25	9.121	54484.330			
2024-01-18	2024-01-O-s4	28.500	1.22	13.792	34.309	25.696	1.22	41.009	109.20	8.19	1025.824	0.32	9.137	54429.963			
2024-01-18	2024-01-O-s4	29.000	1.42	13.736	34.344	25.735	1.42	40.993	109.21	8.19	1025.865	0.29	9.143	54498.110			
2024-01-18	2024-01-O-s4	29.500	1.52	13.724	34.343	25.737	1.52	40.981	109.00	8.17	1025.869	0.28	9.129	54501.145			
2024-01-18	2024-01-O-s4	30.000	1.12	13.722	34.349	25.742	1.12	40.985	109.09	8.19	1025.876	0.30	9.136	54510.285			
2024-01-18	2024-01-O-s4	30.500	1.25	13.720	34.342	25.737	1.25	40.976	109.22	8.19	1025.874	0.27	9.147	54501.622			
2024-01-18	2024-01-O-s4	31.000	1.12	13.709	34.344	25.740	1.12	40.967	108.95	8.19	1025.879	0.35	9.126	54507.416			
2024-01-18	2024-01-O-s4	31.500	1.08	13.709	34.342	25.739	1.08	40.966	109.02	8.19	1025.881	0.25	9.133	54505.818			
2024-01-18	2024-01-O-s4	32.000	1.54	13.697	34.342	25.741	1.54	40.954	109.12	8.20	1025.885	0.29	9.144	54509.031			
2024-01-18	2024-01-O-s4	32.500	1.17	13.687	34.336	25.739	1.17	40.938	109.07	8.19	1025.885	0.25	9.142	54504.159			
2024-01-18	2024-01-O-s4	33.000	1.64	13.671	34.330	25.737	1.64	40.917	109.31	8.19	1025.885	0.28	9.164	54500.727			
2024-01-18	2024-01-O-s4	33.500	1.20	13.622	34.332	25.749	1.20	40.873	109.19	8.18	1025.900	0.34	9.165	54520.466			
2024-01-18	2024-01-O-s4	34.000	1.86	13.579	34.341	25.765	1.86	40.841	109.10	8.19	1025.917	0.37	9.164	54546.971			
2024-01-18	2024-01-O-s4	34.500	1.59	13.559	34.319	25.752	1.59	40.799	109.08	8.19	1025.907	0.40	9.177	54522.293			
2024-01-18	2024-01-O-s4	35.000	1.09	13.458	34.324	25.777	1.09	40.708	109.03	8.22	1025.934	0.47	9.183	54563.440			
2024-01-18	2024-01-O-s4	35.500	1.27	13.356	34.317	25.792	1.27	40.603	109.03	8.19	1025.952	0.75	9.202	54587.056			
2024-01-18	2024-01-O-s4	36.000	1.06	13.336	34.321	25.799	1.06	40.589	108.97	8.19	1025.961	0.95	9.200	54599.484			
2024-01-18	2024-01-O-s4	36.500	1.32	13.334	34.322	25.801	1.32	40.588	108.91	8.19	1025.965	1.14	9.195	54602.431			
2024-01-18	2024-01-O-s4	37.000	1.84	13.332	34.320	25.799	1.84	40.584	108.88	8.19	1025.965	1.38	9.194	54600.082			
2024-01-18	2024-01-O-s4	37.500	0.80	13.330	34.318	25.798	0.80	40.581	108.92	8.19	1025.967	1.02	9.197	54598.306			
2024-01-18	2024-01-O-s8	0.000	0.48	17.129	34.607	25.182	0.48	44.575	104.85	8.27	1025.182	0.14	8.200	53909.836			
2024-01-18	2024-01-O-s8	0.500	0.46	17.125	34.637	25.206	0.46	44.605	104.77	8.22	1025.208	0.13	8.193	53953.096			
2024-01-18	2024-01-O-s8	1.000	0.44	17.129	34.646	25.212	0.44	44.621	104.38	8.19	1025.217	0.09	8.153	53965.927			
2024-01-18	2024-01-O-s8	1.500	0.46	17.133	34.640	25.206	0.46	44.618	104.78	8.23	1025.213	0.10	8.187	53956.483			
2024-01-18	2024-01-O-s8	2.000	0.45	17.130	34.648	25.213	0.45	44.624	104.54	8.22	1025.222	0.11	8.164	53968.732			
2024-01-18	2024-01-O-s8	2.500	0.45	17.136	34.645	25.210	0.45	44.626	105.57	8.23	1025.221	0.09	8.244	53962.964			
2024-01-18	2024-01-O-s8	3.000	0.44	17.136	34.645	25.210	0.44	44.628	105.67	8.21	1025.223	0.10	8.252	53963.789			
2024-01-18	2024-01-O-s8	3.500	0.47	17.137	34.644	25.208	0.47	44.627	105.55	8.22	1025.224	0.13	8.242	53961.836			
2024-01-18	2024-01-O-s8	4.000	0.46	17.136	34.645	25.209	0.46	44.628	105.69	8.21	1025.227	0.11	8.254	53963.842			
2024-01-18	2024-01-O-s8	4.500	0.47	17.137	34.645	25.209	0.47	44.629	105.59	8.25	1025.229	0.10	8.245	53963.784			
2024-01-18	2024-01-O-s8	5.000	0.46	17.137	34.645	25.209	0.46	44.629	105.51	8.20	1025.232	0.13	8.240	53964.365			
2024-01-18	2024-01-O-s8	5.500	0.46	17.131	34.644	25.210	0.46	44.622	105.66	8.20	1025.234	0.14	8.252	53963.942			
2024-01-18	2024-01-O-s8	6.000	0.48	17.131	34.647	25.212	0.48	44.626	105.43	8.23	1025.239	0.10	8.234	53968.433			
2024-01-18	2024-01-O-s8	6.500	0.48	17.130	34.648	25.213	0.48	44.626	105.31	8.22	1025.242	0.10	8.224	53969.994			
2024-01-18	2024-01-O-s8	7.000	0.47	17.132	34.647	25.212	0.47	44.627	105.43	8.22	1025.243	0.10	8.233	53969.258			
2024-01-18	2024-01-O-s8	7.500	0.46	17.131	34.649	25.213	0.46	44.628	105.42	8.22	1025.246	0.09	8.233	53971.601			
2024-01-18	2024-01-O-s8	8.000	0.47	17.132	34.647	25.212	0.47	44.628	105.49	8.22	1025.247	0.10	8.239	53969.773			
2024-01-18	2024-01-O-s8	8.500	0.45	17.131	34.647	25.212	0.45	44.626	105.38	8.19	1025.250	0.11	8.230	53969.628			
2024-01-18	2024-01-O-s8	9.000	0.46	17.131	34.646	25.212	0.46	44.626	105.35	8.23	1025.251	0.09	8.227	53969.258			
2024-01-18	2024-01-O-s8	9.500	0.48	17.132	34.646	25.211	0.48	44.627	105.29	8.21	1025.253	0.13	8.223	53969.125			
2024-01-18	2024-01-O-s8	10.000	0.46	17.130	34.646	25.212	0.46	44.625	105.40	8.19	1025.256	0.10	8.232	53969.698			
2024-01-18	2024-01-O-s8	10.500	0.46	17.130	34.647	25.212	0.46	44.627	105.37	8.22	1025.259	0.10	8.230	53971.590			
2024-01-18	2024-01-O-s8	11.000	0.46	17.127	34.648	25.214	0.46	44.626	105.14	8.22	1025.263	0.16	8.211	53974.041			
2024-01-18	2024-01-O-s8	11.500	0.48	17.121	34.651	25.217	0.48	44.623	105.35	8.22	1025.268	0.10	8.228	53979.181			
2024-01-18	2024-01-O-s8	12.000	0.45	17.122	34.649	25.216	0.45	44.622	105.11	8.21	1025.269	0.13	8.210	53976.730			
2024-01-18	2024-01-O-s8	12.500	0.44	17.126	34.649	25.215	0.44	44.626	105.27	8.23	1025.270	0.10	8.222	53975.674			
2024-01-18	2024-01-O-s8	13.000	0.48	17.126	34.649	25.215	0.48	44.626	105.22	8.22	1025.272	0.11	8.218	53976.273			
2024-01-18	2024-01-O-s8	13.500	0.46	17.127	34.648	25.214	0.46	44.627	105.23	8.20	1025.274	0.11	8.218	53975.648			
2024-01-18	2024-01-O-s8	14.000	0.44	17.126	34.648	25.214	0.44	44.626	105.14	8.22	1025.276	0.11	8.212	53975.681			
2024-01-18	2024-01-O-s8	14.500	0.49	17.129	34.646	25.212	0.49	44.627	105.12	8.22	1025.276	0.16	8.210	53972.930			
