197752	Pleurosigma	33849	Bacillariophyceae
197760	Gyrosigma	33849	Bacillariophyceae
2034760	Envekadea	33849	Bacillariophyceae
2045116	Aneumastus	33849	Bacillariophyceae
2055822	Olifantiella	33849	Bacillariophyceae
210610	Pseudogomphonema	33849	Bacillariophyceae
2126248	Cymatoneis	33849	Bacillariophyceae
2126250	Donkinia	33849	Bacillariophyceae
2126255	Gomphonemopsis	33849	Bacillariophyceae
2126259	Hydrosilicon	33849	Bacillariophyceae
2126264	Plagiotropis	33849	Bacillariophyceae
2126268	Rhoicosigma	33849	Bacillariophyceae
216715	Cocconeis	33849	Bacillariophyceae
216724	Lyrella	33849	Bacillariophyceae
216727	Achnanthes	33849	Bacillariophyceae
216733	Anomoeoneis	33849	Bacillariophyceae
216736	Pinnularia	33849	Bacillariophyceae
216740	Sellaphora	33849	Bacillariophyceae
216744	Cymbella	33849	Bacillariophyceae
216746	Encyonema	33849	Bacillariophyceae
216753	Surirella	33849	Bacillariophyceae
216756	Campylodiscus	33849	Bacillariophyceae
216759	Undatella	33849	Bacillariophyceae
216797	Planothidium	33849	Bacillariophyceae
216821	Rossia	33849	Bacillariophyceae
2259523	Plagiolemma	33849	Bacillariophyceae
2268734	Iconella	33849	Bacillariophyceae
2291634	Tursiocola	33849	Bacillariophyceae
2291670	Staurophora	33849	Bacillariophyceae
245178	Rhopalodia	33849	Bacillariophyceae
2494720	Dorofeyukea	33849	Bacillariophyceae
2494728	Madinithidium	33849	Bacillariophyceae
2562729	Proschkinia	33849	Bacillariophyceae
2592011	Anorthoneis	33849	Bacillariophyceae
265531	Dickieia	33849	Bacillariophyceae
265536	Amphiprora	33849	Bacillariophyceae
265567	Achnanthidium	33849	Bacillariophyceae
265580	Psammodictyon	33849	Bacillariophyceae
265583	Stauroneis	33849	Bacillariophyceae
2707178	Neidiomorpha	33849	Bacillariophyceae
2770810	Gogorevia	33849	Bacillariophyceae
2830917	Microcostatus	33849	Bacillariophyceae
2849	Phaeodactylum	33849	Bacillariophyceae
2852	Cylindrotheca	33849	Bacillariophyceae
2857	Nitzschia	33849	Bacillariophyceae
286098	Seminavis	33849	Bacillariophyceae
286102	Placoneis	33849	Bacillariophyceae
286110	Petroneis	33849	Bacillariophyceae
2862137	Amicula	33849	Bacillariophyceae
2925272	Poulinea	33849	Bacillariophyceae
2963885	Chamaepinnularia	33849	Bacillariophyceae
2971467	Chelonicola	33849	Bacillariophyceae
2971486	Lunella	33849	Bacillariophyceae
2976076	Nagumoea	33849	Bacillariophyceae
2981130	Karthickia	33849	Bacillariophyceae
2981710	Germainiella	33849	Bacillariophyceae
3002	Bacillaria	33849	Bacillariophyceae
303457	Diadesmis	33849	Bacillariophyceae
303461	Cymatopleura	33849	Bacillariophyceae
3082009	Cocconeiopsis	33849	Bacillariophyceae
3086093	Gomphadelpha	33849	Bacillariophyceae
3114899	Druehlago	33849	Bacillariophyceae
3123355	Majewskaea	33849	Bacillariophyceae
3135790	Coronia	33849	Bacillariophyceae
3135857	Decussiphycus	33849	Bacillariophyceae
3423371	Witkowskia	33849	Bacillariophyceae
3423627	Cymbellafalsa	33849	Bacillariophyceae
3439492	Qinia	33849	Bacillariophyceae
3439535	Stigmagloia	33849	Bacillariophyceae
3439542	Yuzaoea	33849	Bacillariophyceae
3440223	Grunowia	33849	Bacillariophyceae
3472107	Platessa	33849	Bacillariophyceae
41953	Pseudo-nitzschia	33849	Bacillariophyceae
420972	Epithemia	33849	Bacillariophyceae
431323	Caloneis	33849	Bacillariophyceae
431342	Craticula	33849	Bacillariophyceae
431357	Frustulia	33849	Bacillariophyceae
431367	Hippodonta	33849	Bacillariophyceae
431369	Luticola	33849	Bacillariophyceae
431390	Mayamaea	33849	Bacillariophyceae
432550	Neidium	33849	Bacillariophyceae
433415	Fallacia	33849	Bacillariophyceae
487667	Cymbopleura	33849	Bacillariophyceae
50949	Navicula	33849	Bacillariophyceae
59796	Amphora	33849	Bacillariophyceae
67475	Haslea	33849	Bacillariophyceae
880756	Fistulifera	33849	Bacillariophyceae
912664	Neodenticula	33849	Bacillariophyceae
