genus_txid	genus_name	upper_txid	upper_name
2837473	Meringosphaera	2608109	Haptista
2902	Emiliania	2608109	Haptista
33656	Phaeocystis	2608109	Haptista
35140	Chrysochromulina	2608109	Haptista
35143	Prymnesium	2608109	Haptista
38816	Gephyrocapsa	2608109	Haptista
412163	Dicrateria	2608109	Haptista
13607	Mantoniella	3041	Chlorophyta
2302914	Chloropicon	3041	Chlorophyta
2302916	Chloroparvula	3041	Chlorophyta
249344	Picochlorum	3041	Chlorophyta
3052	Chlamydomonas	3041	Chlorophyta
3118	Ulva	3041	Chlorophyta
31311	Nephroselmis	3041	Chlorophyta
3132	Codium	3041	Chlorophyta
3164	Tetraselmis	3041	Chlorophyta
3189	Scherffelia	3041	Chlorophyta
36882	Pyramimonas	3041	Chlorophyta
38832	Micromonas	3041	Chlorophyta
41874	Bathycoccus	3041	Chlorophyta
41879	Pycnococcus	3041	Chlorophyta
41885	Pseudoscourfieldia	3041	Chlorophyta
51323	Oltmannsiellopsis	3041	Chlorophyta
70447	Ostreococcus	3041	Chlorophyta
173461	Pterothamnion	2763	Rhodophyta
189633	Dasysiphonia	2763	Rhodophyta
1917068	Melanothamnus	2763	Rhodophyta
2007273	Dasyclonium	2763	Rhodophyta
218444	Campylaephora	2763	Rhodophyta
2768	Chondrus	2763	Rhodophyta
2804	Polysiphonia	2763	Rhodophyta
2811	Gelidium	2763	Rhodophyta
31378	Callithamnion	2763	Rhodophyta
362234	Erythrolobus	2763	Rhodophyta
41998	Anotrichium	2763	Rhodophyta
470589	Palisada	2763	Rhodophyta
70837	Pterocladiella	2763	Rhodophyta
299205	Leucocryptos	3027	Cryptophyceae
77924	Hemiselmis	3027	Cryptophyceae
77930	Teleaulax	3027	Cryptophyceae
2603953	Lacrimia	33682	Euglenozoa
73024	Eutreptiella	33682	Euglenozoa
91373	Diplonema	33682	Euglenozoa
27922	Mnemiopsis	10197	Ctenophora
51106	Bolinopsis	10197	Ctenophora
13092	Hydractinia	6073	Cnidaria
168755	Muggiaea	6073	Cnidaria
168782	Porpita	6073	Cnidaria
32569	Obelia	6073	Cnidaria
669086	Podocorynoides	6073	Cnidaria
366392	Flaccisagitta	10229	Chaetognatha
366395	Parasagitta	10229	Chaetognatha
648571	Zonosagitta	10229	Chaetognatha
114066	Metridia	6830	Copepoda
119371	Pseudocalanus	6830	Copepoda
121140	Eucalanus	6830	Copepoda
121148	Acartia	6830	Copepoda
134923	Nannocalanus	6830	Copepoda
136182	Centropages	6830	Copepoda
136190	Oithona	6830	Copepoda
148995	Clausocalanus	6830	Copepoda
163236	Labidocera	6830	Copepoda
163465	Euterpina	6830	Copepoda
163471	Paracalanus	6830	Copepoda
163475	Pseudodiaptomus	6830	Copepoda
1642556	Longipedia	6830	Copepoda
1795194	Amonardia	6830	Copepoda
1795198	Asterocheres	6830	Copepoda
248475	Subeucalanus	6830	Copepoda
261851	Temora	6830	Copepoda
349674	Oncaea	6830	Copepoda
509926	Canuella	6830	Copepoda
512221	Diosaccus	6830	Copepoda
565003	Paracyclopina	6830	Copepoda
6831	Tigriopus	6830	Copepoda
6836	Calanus	6830	Copepoda
749175	Calocalanus	6830	Copepoda
749187	Parvocalanus	6830	Copepoda
88014	Eurytemora	6830	Copepoda
1562160	Perforatus	6676	Thoracica
37898	Chthamalus	6676	Thoracica
637416	Amphibalanus	6676	Thoracica
6677	Balanus	6676	Thoracica
124139	Penilia	6658	Branchiopoda
141399	Podon	6658	Branchiopoda
141402	Evadne	6658	Branchiopoda
117980	Lucifer	6657	Crustacea
117982	Palaemon	6657	Crustacea
163713	Cyprideis	6657	Crustacea
337809	Oratosquilla	6657	Crustacea
51649	Sacculina	6657	Crustacea
6818	Euphausia	6657	Crustacea
69354	Darwinula	6657	Crustacea
373281	Eurycyde	6656	Arthropoda
61471	Timema	6656	Arthropoda
102325	Nuculana	6544	Bivalvia
106298	Azumapecten	6544	Bivalvia
106321	Limaria	6544	Bivalvia
1069102	Lametila	6544	Bivalvia
120430	Hiatella	6544	Bivalvia
12965	Bathymodiolus	6544	Bivalvia
138983	Chamelea	6544	Bivalvia
1644148	Ylistrum	6544	Bivalvia
186463	Ruditapes	6544	Bivalvia
186466	Mizuhopecten	6544	Bivalvia
2171616	Magallana	6544	Bivalvia
263428	Teredo	6544	Bivalvia
311200	Saxidomus	6544	Bivalvia
33508	Saccostrea	6544	Bivalvia
40253	Brachidontes	6544	Bivalvia
462888	Leukoma	6544	Bivalvia
50425	Pinctada	6544	Bivalvia
6548	Mytilus	6544	Bivalvia
6595	Mercenaria	6544	Bivalvia
6603	Mya	6544	Bivalvia
128466	Babylonia	6447	Mollusca
1502603	Lucidestea	6447	Mollusca
158035	Pneumodermopsis	6447	Mollusca
1746159	Voorwindia	6447	Mollusca
31213	Littorina	6447	Mollusca
356496	Creseis	6447	Mollusca
52628	Crepidula	6447	Mollusca
707132	Alvania	6447	Mollusca
104740	Mediomastus	6340	Annelida
1535804	Paraprionospio	6340	Annelida
1582897	Lagis	6340	Annelida
216497	Hydroides	6340	Annelida
272744	Boccardiella	6340	Annelida
397551	Glycinde	6340	Annelida
46597	Magelona	6340	Annelida
46600	Polydora	6340	Annelida
484803	Dipolydora	6340	Annelida
51293	Capitella	6340	Annelida
6346	Owenia	6340	Annelida
6430	Urechis	6340	Annelida
73387	Amphitrite	6340	Annelida
94674	Prionospio	6340	Annelida
997029	Pseudopolydora	6340	Annelida
133433	Acanthaster	7586	Echinodermata
31174	Diadema	7586	Echinodermata
35076	Patiria	7586	Echinodermata
39183	Echinocardium	7586	Echinodermata
7601	Asterias	7586	Echinodermata
7652	Lytechinus	7586	Echinodermata
7664	Strongylocentrotus	7586	Echinodermata
2507559	Fritillaria	7712	Tunicata
30275	Ascidia	7712	Tunicata
30300	Botryllus	7712	Tunicata
34763	Oikopleura	7712	Tunicata
76840	Doliolum	7712	Tunicata
7718	Ciona	7712	Tunicata
7724	Styela	7712	Tunicata
129042	Cololabis	7898	Actinopterygii
42891	Engraulis	7898	Actinopterygii
475172	Neoarius	7898	Actinopterygii
10227	Trichoplax	33208	Metazoa
110555	Myxine	33208	Metazoa
1641630	Notocomplana	33208	Metazoa
166041	Cephalothrix	33208	Metazoa
188022	Acoelopelophila	33208	Metazoa
188043	Otocelis	33208	Metazoa
231595	Loxosomella	33208	Metazoa
320052	Chromadorina	33208	Metazoa
478207	Flustra	33208	Metazoa
52056	Microstomum	33208	Metazoa
536234	Convolutriloba	33208	Metazoa
6061	Halichondria	33208	Metazoa
6237	Caenorhabditis	33208	Metazoa
7763	Eptatretus	33208	Metazoa
88943	Tubulanus	33208	Metazoa
9605	Homo	33208	Metazoa
3368	Cryptomeria	35493	Streptophyta
4219	Artemisia	35493	Streptophyta
4418	Nymphaea	35493	Streptophyta
60092	Vinca	35493	Streptophyta
5073	Penicillium	4751	Fungi
5498	Cladosporium	4751	Fungi
5533	Rhodotorula	4751	Fungi
83249	Tyromyces	4751	Fungi
1328948	Incisomonas	2759	Eukaryota
2203426	Miracula	2759	Eukaryota
232264	Telonema	2759	Eukaryota
2494382	Sirolpidium	2759	Eukaryota
258835	Calliacantha	2759	Eukaryota
5806	Cryptosporidium	2759	Eukaryota
65356	Albugo	2759	Eukaryota
1007082	Nitrosarchaeum	2157	Archaea
1593364	Candidatus Nitrosopelagicus	2157	Archaea
1993653	Candidatus Nitrosomarinus	2157	Archaea
338191	Nitrosopumilus	2157	Archaea
1129	Synechococcus	1117	Cyanobacteriota
1205	Trichodesmium	1117	Cyanobacteriota
1218	Prochlorococcus	1117	Cyanobacteriota
1453359	Candidatus Atelocyanobacterium	1117	Cyanobacteriota
167375	Cyanobium	1117	Cyanobacteriota
2881427	Parasynechococcus	1117	Cyanobacteriota
373984	Rivularia	1117	Cyanobacteriota
1041	Erythrobacter	28211	Alphaproteobacteria
1111	Porphyrobacter	28211	Alphaproteobacteria
1167830	Litorimonas	28211	Alphaproteobacteria
119044	Filomicrobium	28211	Alphaproteobacteria
1234545	Parasphingopyxis	28211	Alphaproteobacteria
1284657	Planktomarina	28211	Alphaproteobacteria
1295327	Croceicoccus	28211	Alphaproteobacteria
13687	Sphingomonas	28211	Alphaproteobacteria
1395974	Tardiphaga	28211	Alphaproteobacteria
1433986	Actibacterium	28211	Alphaproteobacteria
1434014	Lentibacter	28211	Alphaproteobacteria
1434019	Mameliella	28211	Alphaproteobacteria
1434029	Pelagimonas	28211	Alphaproteobacteria
1443919	Tabrizicola	28211	Alphaproteobacteria
1484898	Methyloceanibacter	28211	Alphaproteobacteria
150203	Blastomonas	28211	Alphaproteobacteria
150830	Roseibium	28211	Alphaproteobacteria
153232	Oceanicaulis	28211	Alphaproteobacteria
1541822	Pseudophaeobacter	28211	Alphaproteobacteria
1612611	Pararhizobium	28211	Alphaproteobacteria
1617805	Amylibacter	28211	Alphaproteobacteria
1648497	Boseongicola	28211	Alphaproteobacteria
1649331	Fretibacter	28211	Alphaproteobacteria
1649463	Lentilitoribacter	28211	Alphaproteobacteria
1649483	Pseudopelagicola	28211	Alphaproteobacteria
1649486	Rhizorhabdus	28211	Alphaproteobacteria
165695	Sphingobium	28211	Alphaproteobacteria
165696	Novosphingobium	28211	Alphaproteobacteria
165697	Sphingopyxis	28211	Alphaproteobacteria
1658781	Aliiroseovarius	28211	Alphaproteobacteria
168934	Thalassospira	28211	Alphaproteobacteria
1697958	Aliisedimentitalea	28211	Alphaproteobacteria
171436	Tistrella	28211	Alphaproteobacteria
1742974	Pyruvatibacter	28211	Alphaproteobacteria
1759396	Marivivens	28211	Alphaproteobacteria
1775424	Nioella	28211	Alphaproteobacteria
182269	Aurantimonas	28211	Alphaproteobacteria
1844015	Pontivivens	28211	Alphaproteobacteria
1855413	Brevirhabdus	28211	Alphaproteobacteria
1855416	Qipengyuania	28211	Alphaproteobacteria
188905	Jannaschia	28211	Alphaproteobacteria
191028	Leisingera	28211	Alphaproteobacteria
198251	Candidatus Pelagibacter	28211	Alphaproteobacteria
2038635	Hyphococcus	28211	Alphaproteobacteria
2055850	Aquicoccus	28211	Alphaproteobacteria
208215	Parvularcula	28211	Alphaproteobacteria
2083206	Tritonibacter	28211	Alphaproteobacteria
2109360	Aestuariibius	28211	Alphaproteobacteria
2211635	Cognatishimia	28211	Alphaproteobacteria
2211641	Yoonia	28211	Alphaproteobacteria
2282523	Methylorubrum	28211	Alphaproteobacteria
238783	Pseudorhodobacter	28211	Alphaproteobacteria
2433	Roseobacter	28211	Alphaproteobacteria
2603325	Aliishimia	28211	Alphaproteobacteria
263377	Salipiger	28211	Alphaproteobacteria
265	Paracoccus	28211	Alphaproteobacteria
266808	Thalassobacter	28211	Alphaproteobacteria
2676755	Croceibacterium	28211	Alphaproteobacteria
2680018	Rhodophyticola	28211	Alphaproteobacteria
2709685	Parasphingorhabdus	28211	Alphaproteobacteria
2712688	Salaquimonas	28211	Alphaproteobacteria
2716172	Candidatus Bandiella	28211	Alphaproteobacteria
2723	Hirschia	28211	Alphaproteobacteria
274591	Hoeflea	28211	Alphaproteobacteria
2795377	Pelagovum	28211	Alphaproteobacteria
2818469	Fuscovulum	28211	Alphaproteobacteria
2820509	Aestuarium	28211	Alphaproteobacteria
282198	Nereida	28211	Alphaproteobacteria
2831925	Pukyongiella	28211	Alphaproteobacteria
2831955	Pikeienuella	28211	Alphaproteobacteria
285107	Thioclava	28211	Alphaproteobacteria
2854182	Falsihalocynthiibacter	28211	Alphaproteobacteria
2854186	Pseudosulfitobacter	28211	Alphaproteobacteria
2888759	Pacificispira	28211	Alphaproteobacteria
2937410	Gymnodinialimonas	28211	Alphaproteobacteria
2943291	Pseudemcibacter	28211	Alphaproteobacteria
299261	Tateyamaria	28211	Alphaproteobacteria
2996317	Candidatus Tisiphia	28211	Alphaproteobacteria
302485	Phaeobacter	28211	Alphaproteobacteria
309512	Dinoroseobacter	28211	Alphaproteobacteria
323620	Shinella	28211	Alphaproteobacteria
335927	Thalassovita	28211	Alphaproteobacteria
336277	Roseicyclus	28211	Alphaproteobacteria
3412738	Algirhabdus	28211	Alphaproteobacteria
3457287	Candidatus Ponderosibacter	28211	Alphaproteobacteria
3457288	Candidatus Levibacter	28211	Alphaproteobacteria
361177	Altererythrobacter	28211	Alphaproteobacteria
367771	Marinovum	28211	Alphaproteobacteria
374	Bradyrhizobium	28211	Alphaproteobacteria
407	Methylobacterium	28211	Alphaproteobacteria
41275	Brevundimonas	28211	Alphaproteobacteria
444432	Anderseniella	28211	Alphaproteobacteria
453849	Henriciella	28211	Alphaproteobacteria
478070	Labrenzia	28211	Alphaproteobacteria
481178	Seohaeicola	28211	Alphaproteobacteria
526215	Thalassobaculum	28211	Alphaproteobacteria
53945	Octadecabacter	28211	Alphaproteobacteria
573139	Shimia	28211	Alphaproteobacteria
58842	Sagittula	28211	Alphaproteobacteria
60136	Sulfitobacter	28211	Alphaproteobacteria
659428	Marivita	28211	Alphaproteobacteria
74030	Roseovarius	28211	Alphaproteobacteria
74317	Maricaulis	28211	Alphaproteobacteria
767891	Candidatus Puniceispirillum	28211	Alphaproteobacteria
85	Hyphomonas	28211	Alphaproteobacteria
875170	Celeribacter	28211	Alphaproteobacteria
93682	Roseivivax	28211	Alphaproteobacteria
97050	Ruegeria	28211	Alphaproteobacteria
1030	Thiothrix	1236	Gammaproteobacteria
1050833	Eionea	1236	Gammaproteobacteria
1084558	Oceanicoccus	1236	Gammaproteobacteria
1122283	Maricurvus	1236	Gammaproteobacteria
1123967	Porticoccus	1236	Gammaproteobacteria
1217416	Halioglobus	1236	Gammaproteobacteria
1227	Nitrosococcus	1236	Gammaproteobacteria
1341118	Luminiphilus	1236	Gammaproteobacteria
1502941	Pleionea	1236	Gammaproteobacteria
1518149	Thalassotalea	1236	Gammaproteobacteria
1524249	Pseudohongiella	1236	Gammaproteobacteria
1573826	Psychrobium	1236	Gammaproteobacteria
1621534	Paraglaciecola	1236	Gammaproteobacteria
1738655	Woeseia	1236	Gammaproteobacteria
1813600	Candidatus Tenderia	1236	Gammaproteobacteria
1858563	Alkalimarinus	1236	Gammaproteobacteria
